"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-constraint-fixed-num"
"10/03/2022 01:54:19:291 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","max-angle","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"102","90","100","constraint","60","3197","8.556023692933959","17.059958028648186","3197","219","100","3197"
"127","180","100","constraint","22","723","7.535569182911294","1","723","58","100","723"
"130","180","100","constraint","23","640","8.386465323064273","1","640","153","100","640"
"129","180","100","constraint","23","813","9.221699612127088","1","813","144","100","813"
"131","180","100","constraint","24","720","8.699624678912715","1","720","92","100","720"
"132","180","100","constraint","24","780","9.541654273225788","1","780","109","100","780"
"134","180","100","constraint","25","819","8.748900770903742","1","819","133","100","819"
"133","180","100","constraint","25","882","8.68088861637214","1.188114945576615","882","143","100","882"
"135","180","100","constraint","26","1037","8.96402931868242","1","1037","214","100","1037"
"136","180","100","constraint","26","955","9.347665068931882","1.1111212373878097","955","176","100","955"
"137","180","100","constraint","27","860","8.509113407186296","1","860","187","100","860"
"139","180","100","constraint","28","908","9.034731772367522","1","908","146","100","908"
"138","180","100","constraint","27","1135","8.200898560306253","1.057287165938929","1135","204","100","1135"
"140","180","100","constraint","28","955","9.249973372406112","1","955","196","100","955"
"141","180","100","constraint","29","1259","8.556749676709176","1.6849064946448706","1259","268","100","1259"
"142","180","100","constraint","29","1144","9.061199850294113","2.110804282217652","1144","265","100","1144"
"143","180","100","constraint","30","1181","9.288465692268918","1","1181","228","100","1181"
"145","180","100","constraint","31","1261","9.270905889745531","1","1261","207","100","1261"
"144","180","100","constraint","30","1652","8.241455584335993","1","1652","174","100","1652"
"147","180","100","constraint","32","1169","8.941799266515257","1","1169","182","100","1169"
"146","180","100","constraint","31","1451","9.167193388220733","1","1451","189","100","1451"
"148","180","100","constraint","32","1108","8.598532191035195","1","1108","187","100","1108"
"149","180","100","constraint","33","1534","9.000665272897287","1","1534","143","100","1534"
"151","180","100","constraint","34","1403","8.688390712351087","0.9999999999999999","1403","175","100","1403"
"150","180","100","constraint","33","1637","9.112641415310145","1.423299819196778","1637","227","100","1637"
"152","180","100","constraint","34","1422","8.761032491871113","1.0754890544946178","1422","219","100","1422"
