"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-constraint-fixed-world-size"
"10/03/2022 01:50:34:267 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","max-angle","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"85","90","92","constraint","50","1892","8.960915903480151","13.134613549602793","1892","114","100","1892"
"88","90","93","constraint","50","1325","8.37510060176268","13.53510653295712","1325","160","100","1325"
"86","90","92","constraint","50","1751","9.681621159269396","13.673008037602944","1751","135","100","1751"
"87","90","93","constraint","50","1990","8.899489541433148","11.66249060727196","1990","120","100","1990"
"89","90","94","constraint","50","1500","8.004257960449921","9.758057568010363","1500","78","100","1500"
"90","90","94","constraint","50","1623","8.114663607873789","12.155374889151556","1623","140","100","1623"
"92","90","95","constraint","50","1409","8.788966875584245","14.291154660572897","1409","145","100","1409"
"93","90","96","constraint","50","1456","8.265842491041626","11.455921130562349","1456","128","100","1456"
"91","90","95","constraint","50","1710","8.495410290052206","14.298889104974865","1710","130","100","1710"
"94","90","96","constraint","50","1481","9.134969961205266","11.548960778065421","1481","112","100","1481"
"95","90","97","constraint","50","1501","8.740727200899101","12.360251874121793","1501","156","100","1501"
"96","90","97","constraint","50","1613","9.276824073231907","10.164865144686111","1613","103","100","1613"
"97","90","98","constraint","50","1598","8.03189094071307","9.100335952791514","1598","141","100","1598"
"98","90","98","constraint","50","1541","8.897920228822953","11.736969395555171","1541","122","100","1541"
"99","90","99","constraint","50","1285","8.25507877777059","14.470235898711195","1285","166","100","1285"
"100","90","99","constraint","50","1610","8.737833123122497","12.749864660055527","1610","161","100","1610"
"101","90","100","constraint","50","1321","9.081221812306824","12.48705501069096","1321","137","100","1321"
"102","90","100","constraint","50","1345","8.54352667103739","12.640434309492228","1345","191","100","1345"
"103","180","50","constraint","50","5997","6.139046900358765","2.4840275511936944","5997","762","100","5997"
"104","180","50","constraint","50","7247","6.135063022565011","2.9743914801937237","7247","576","100","7247"
"105","180","51","constraint","50","6840","6.344560514157808","2.4998424709389617","6840","602","100","6840"
"106","180","51","constraint","50","7911","6.465690152409866","5.04887687955717","7911","820","100","7911"
"107","180","52","constraint","50","5615","6.55458384160217","3.340396588182916","5615","877","100","5615"
"108","180","52","constraint","50","7748","6.287150779377213","1.767169392267128","7748","555","100","7748"
"110","180","53","constraint","50","6440","6.533864441863974","2.216392718837408","6440","613","100","6440"
"109","180","53","constraint","50","7539","6.4422161354599625","1.451008903241224","7539","731","100","7539"
"111","180","54","constraint","50","6187","6.501882644095446","1.7989855930617296","6187","547","100","6187"
"113","180","55","constraint","50","5182","6.42201672890552","1","5182","324","100","5182"
"112","180","54","constraint","50","6450","6.586139171316747","2.5206414670451878","6450","536","100","6450"
"114","180","55","constraint","50","6481","6.623553883734219","1.8470155073577814","6481","741","100","6481"
"115","180","56","constraint","50","6486","6.729539688771383","2.4986947057981848","6486","815","100","6486"
"116","180","56","constraint","50","5302","6.639845123530165","1.5054730463125345","5302","446","100","5302"
"117","180","57","constraint","50","5556","6.993447544231162","1.7553987307246217","5556","590","100","5556"
"119","180","58","constraint","50","4864","6.561541089534694","1.541866556567907","4864","720","100","4864"
