"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-lazy-fixed-word-size"
"10/03/2022 01:32:09:361 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","lambda","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"260","1.5","77","lazy","40","1167","10.077981937282235","9.910281079717732","1167","164","100","1167"
"261","1.5","78","lazy","40","1084","10.17320542749916","3.648792860078789","1084","142","100","1084"
"262","1.5","78","lazy","40","1054","11.301212412802128","6.101492528755578","1054","174","100","1054"
"265","1.5","80","lazy","40","931","11.226282269829655","4.681316047645257","931","165","100","931"
"264","1.5","79","lazy","40","954","11.976188789670255","6.240686780690698","954","164","100","954"
"263","1.5","79","lazy","40","1105","12.40957314088109","9.23137394354686","1105","205","100","1105"
"266","1.5","80","lazy","40","1032","12.404063390761912","6.994006936512633","1032","180","100","1032"
"267","1.5","81","lazy","40","991","11.14872624615593","4.574523202842606","991","157","100","991"
"268","1.5","81","lazy","40","1060","10.662677448217153","5.723898847519855","1060","150","100","1060"
"270","1.5","82","lazy","40","976","11.350952335121997","7.462443995789723","976","177","100","976"
"269","1.5","82","lazy","40","1064","10.404670178351108","3.2591223370356683","1064","125","100","1064"
"271","1.5","83","lazy","40","913","11.282456050589646","4.264323800639751","913","147","100","913"
"272","1.5","83","lazy","40","892","12.566777032129592","9.348422620967693","892","189","100","892"
"273","1.5","84","lazy","40","881","12.37329429330182","9.604554124306862","881","178","100","881"
"274","1.5","84","lazy","40","929","11.58006981269095","9.951898404098511","929","193","100","929"
"275","1.5","85","lazy","40","893","11.183504797785819","5.723536771738365","893","151","100","893"
"276","1.5","85","lazy","40","895","11.149264574459984","6.9908808357806045","895","168","100","895"
"277","1.5","86","lazy","40","890","12.271523455568238","10.657139363964767","890","198","100","890"
"279","1.5","87","lazy","40","862","10.704549343872714","4.704191049715103","862","134","100","862"
"280","1.5","87","lazy","40","898","11.305413931089793","6.991029530609747","898","176","100","898"
