"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-step-size"
"10/03/2022 14:39:12:344 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"92","1","0","deterministic","95","1786","1.4666299020511544","52.31885425213139","1786","60","100","1786"
"91","1","0","deterministic","95","2161","11.788133858778572","52.31885425213138","2161","60","100","2161"
"93","1","0","deterministic","96","1996","10.61861124838872","52.31885425213138","1996","60","100","1996"
"94","1","0","deterministic","96","1847","11.119407427980269","52.31885425213139","1847","60","100","1847"
"95","1","0","deterministic","97","1457","10.14165727722119","52.31885425213139","1457","60","100","1457"
"96","1","0","deterministic","97","1701","5.492144525440998","52.318854252131395","1701","60","100","1701"
"97","1","0","deterministic","98","1564","0.6186638784289115","52.31885425213139","1564","60","100","1564"
"99","1","0","deterministic","99","1617","2.9752724347082276","52.31885425213138","1617","60","100","1617"
"98","1","0","deterministic","98","1902","11.454943478239716","52.31885425213138","1902","60","100","1902"
"100","1","0","deterministic","99","2057","5.748233829363796","52.318854252131395","2057","60","100","2057"
"102","1","0","deterministic","100","1462","14.784937032614181","52.31885425213138","1462","60","100","1462"
"101","1","0","deterministic","100","1745","3.8994893513017965","52.31885425213137","1745","60","100","1745"
"103","1","1","deterministic","50","2535","10.988725440456498","10.396615921172275","2535","71","100","2535"
"104","1","1","deterministic","50","3453","5.657101163495631","27.719221536911505","3453","256","100","3453"
"105","1","1","deterministic","51","2712","6.812533757197899","7.151116646529843","2712","66","100","2712"
"107","1","1","deterministic","52","2929","4.405345247953169","11.062316296557523","2929","82","100","2929"
"106","1","1","deterministic","51","3688","3.88954079538824","30.095358104060402","3688","282","100","3688"
"109","1","1","deterministic","53","2867","5.423567924229926","31.463392031089487","2867","295","100","2867"
"110","1","1","deterministic","53","2854","11.321883775159684","8.84187122244475","2854","68","100","2854"
"108","1","1","deterministic","52","4454","8.276916851327844","29.977369088802725","4454","287","100","4454"
"111","1","1","deterministic","54","2806","2.332531179723576","11.06511117074714","2806","72","100","2806"
"112","1","1","deterministic","54","2827","6.8855129532565975","39.10482056639103","2827","356","100","2827"
"114","1","1","deterministic","55","2302","5.427263161067956","9.359624521399123","2302","95","100","2302"
"113","1","1","deterministic","55","2716","13.420644617060496","9.448638095733136","2716","63","100","2716"
"116","1","1","deterministic","56","2994","9.157950916746927","36.19882450319439","2994","337","100","2994"
"115","1","1","deterministic","56","3350","10.564592922963879","29.564038836839302","3350","285","100","3350"
"118","1","1","deterministic","57","2174","3.447038798699344","36.42580432634034","2174","335","100","2174"
"117","1","1","deterministic","57","2803","4.4389081274562034","34.79433219503962","2803","326","100","2803"
"119","1","1","deterministic","58","2731","2.9375851985446584","8.201523792234758","2731","63","100","2731"
"121","1","1","deterministic","59","2253","12.339903126888252","7.245191267030261","2253","63","100","2253"
"120","1","1","deterministic","58","3282","10.735673313797767","8.187595454272634","3282","77","100","3282"
"122","1","1","deterministic","59","3052","4.114086544075882","26.159970699005548","3052","253","100","3052"
"124","1","1","deterministic","60","2448","5.332370496759275","8.629493408660897","2448","76","100","2448"
"123","1","1","deterministic","60","2672","9.426408894310281","38.93377649080779","2672","360","100","2672"
"126","1","1","deterministic","61","2850","7.916621385264017","25.519883734699846","2850","248","100","2850"
"125","1","1","deterministic","61","2648","5.939903407996771","28.44767384136","2648","268","100","2648"
"128","1","1","deterministic","62","2506","6.267196365426285","36.254381124180135","2506","336","100","2506"
"127","1","1","deterministic","62","2734","6.607708005556685","28.36861322114876","2734","271","100","2734"
"131","1","1","deterministic","64","2184","6.850174451461012","6.534679400659137","2184","65","100","2184"
"129","1","1","deterministic","63","2836","2.4590986413831293","32.29016583439882","2836","298","100","2836"
"130","1","1","deterministic","63","2747","5.573193314976009","9.501730214945091","2747","72","100","2747"
"132","1","1","deterministic","64","2620","15.256569137062256","9.75856281645039","2620","91","100","2620"
"133","1","1","deterministic","65","2279","7.953145045927106","29.712519701043327","2279","279","100","2279"
"134","1","1","deterministic","65","2349","5.003108518517478","8.97291654216878","2349","63","100","2349"
"135","1","1","deterministic","66","2240","9.528293115769378","5.844378222345181","2240","63","100","2240"
"136","1","1","deterministic","66","2287","10.583103567716801","9.97250045486464","2287","64","100","2287"
"137","1","1","deterministic","67","2443","3.4015229794730035","9.509800771067098","2443","75","100","2443"
"139","1","1","deterministic","68","2165","10.041335787078573","27.10783437746338","2165","259","100","2165"
