"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-lazy-fixed-num"
"10/03/2022 01:38:45:359 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","lambda","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"23","0.5","100","lazy","21","10000","0.1297348217434306","8.528213262474386","0","0","32.66630611141157","10000"
"24","0.5","100","lazy","21","10000","5.241028809063248","3.813438842740288","0","169","33.20713899405084","10000"
"25","0.5","100","lazy","22","10000","0.1322533481882626","8.810357229002767","0","0","30.02469135802469","10000"
"26","0.5","100","lazy","22","10000","0.12822353417470803","8.671980062775955","0","0","28.938271604938272","10000"
"27","0.5","100","lazy","23","10000","0.12899049694563405","9.049320516352834","0","0","30.60208239022182","10000"
"28","0.5","100","lazy","23","10000","0.13124662905386097","9.167260725130173","0","0","30.149388863739247","10000"
"29","0.5","100","lazy","24","10000","0.12622952835507686","8.768990097866814","0","0","26.655560183256977","10000"
"30","0.5","100","lazy","24","10000","0.12939722898291825","8.95708636457578","0","0","27.113702623906704","10000"
"31","0.5","100","lazy","25","10000","0.12697726738799428","8.65255734151743","0","0","23.760092272203","10000"
"32","0.5","100","lazy","25","10000","0.12491720854317331","8.054801227597647","0","0","24.452133794694348","10000"
"33","0.5","100","lazy","26","10000","0.128571061101904","9.083372375004242","0","0","23.139907440370237","10000"
"34","0.5","100","lazy","26","10000","0.13036753890413683","8.396094210739367","0","0","22.712709149163402","10000"
"35","0.5","100","lazy","27","10000","0.13316976349995208","8.350623840912684","0","0","19.90082644628099","10000"
"37","0.5","100","lazy","28","10000","0.1322790761413823","8.435658919228443","0","0","18.22099107417667","10000"
"36","0.5","100","lazy","27","10000","0.12311920686373465","9.039837002249351","0","0","22.611570247933884","10000"
"38","0.5","100","lazy","28","10000","0.1353090111453581","8.295706740641325","0","0","19.79070483225608","10000"
"39","0.5","100","lazy","29","10000","0.1264030378192186","8.07152705966978","0","0","16.518241884515945","10000"
"40","0.5","100","lazy","29","10000","0.13370147555779346","8.712329130145164","0","0","18.29933927032462","10000"
"42","0.5","100","lazy","30","10000","0.13602615072389573","8.891847674098544","0","0","17.119054017737167","10000"
"41","0.5","100","lazy","30","10000","0.1292539333748123","8.83583573103643","0","0","16.09782316581564","10000"
"43","0.5","100","lazy","31","10000","0.1347133671705311","8.496240217023402","0","0","15.721844293272865","10000"
"44","0.5","100","lazy","31","10000","0.13504709927020758","8.22013353853892","0","0","14.411690602166793","10000"
"45","0.5","100","lazy","32","10000","0.12678546076708777","8.281769991356667","0","0","14.863905325443787","10000"
"46","0.5","100","lazy","32","10000","0.13074131437129535","8.781680240052266","0","0","15.57396449704142","10000"
"47","0.5","100","lazy","33","10000","0.12472710548232385","8.361450599392459","0","0","14.190242815771887","10000"
"48","0.5","100","lazy","33","10000","0.12288913444851922","8.13683217496788","0","0","12.296725328580976","10000"
"49","0.5","100","lazy","34","10000","0.12929100213370118","8.930037302805719","0","0","13.925645872715815","10000"
"50","0.5","100","lazy","34","10000","0.12896801092023374","9.048205246357433","0","0","14.177693761814744","10000"
"51","0.5","100","lazy","35","10000","0.12874630641910395","7.748372903405052","0","0","10.593136282483634","10000"
"52","0.5","100","lazy","35","10000","0.13348946335522402","8.694478616374258","0","0","12.8347550089268","10000"
"53","0.5","100","lazy","36","10000","0.12867405249207556","9.087209867723688","0","0","13.285794708200413","10000"
"54","0.5","100","lazy","36","10000","0.13385120901857794","9.458162469783925","0","0","13.698630136986301","10000"
"55","0.5","100","lazy","37","10000","0.12433605669839504","8.075469313317583","0","0","10.151111111111112","10000"
"56","0.5","100","lazy","37","10000","0.12736036729756817","8.649607672497446","0","0","10.773333333333333","10000"
"57","0.5","100","lazy","38","10000","0.12775927961668013","8.094348353016171","0","0","9.748692865575983","10000"
"59","0.5","100","lazy","39","10000","0.13003116295798808","8.991547863592437","0","0","10.67136676814613","10000"
"58","0.5","100","lazy","38","10000","0.13095385834004047","7.981145908644927","0","0","9.478832855456233","10000"
"60","0.5","100","lazy","39","10000","0.12523107510422882","8.81742896135349","0","0","10.25476686428457","10000"
"61","0.5","100","lazy","40","10000","0.12681528549988738","8.278790588942469","0","0","9.465020576131687","10000"
"62","0.5","100","lazy","40","10000","0.12803582898887855","7.873053600457057","0","0","8.657216887669563","10000"
"63","0.5","100","lazy","41","10000","0.1315729960261454","8.611967290304102","0","0","9.275656844244448","10000"
"64","0.5","100","lazy","41","10000","0.13557727420125062","7.987144239070884","0","0","8.4772826244738","10000"
"65","0.5","100","lazy","42","10000","0.11976316620663201","8.618509783236858","0","0","8.664359861591695","10000"
"66","0.5","100","lazy","42","10000","0.1257471477743166","8.576432836176716","0","0","9.370242214532873","10000"
"67","0.5","100","lazy","43","10000","0.13043189310487888","9.15306689010033","0","0","8.34984806447351","10000"
"68","0.5","100","lazy","43","10000","0.1369169939431733","8.457836008632471","0","0","8.01955344166997","10000"
"69","0.5","100","lazy","44","10000","0.1272874999799421","8.81001613362874","0","0","7.852543870723394","10000"
"70","0.5","100","lazy","44","10000","0.1252102825738814","8.369242137871101","0","0","7.2844337836131805","10000"
"71","0.5","100","lazy","45","10000","0.1274201482068802","7.713289563254689","0","0","6.653785774664896","10000"
"72","0.5","100","lazy","45","10000","0.1268551508138209","8.830704469173291","0","0","6.883226663446444","10000"
"73","0.5","100","lazy","46","10000","0.12221423895640962","8.819111473733331","0","0","7.711874205110417","10000"
"74","0.5","100","lazy","46","10000","0.1296709083698244","8.902198179575752","0","0","7.099086599606891","10000"
